IMG_1588,[10, 68, 70, 145, 170],[(183, 191, 197), (66, 74, 61), (17, 23, 14), (252, 252, 253), (145, 119, 110)]
IMG_1567,[20, 21, 33, 35, 38],[(60, 43, 27), (248, 244, 225), (160, 159, 150), (118, 95, 71), (204, 201, 189)]
IMG_1635,[14, 15, 19, 22, 32],[(106, 76, 59), (187, 146, 112), (242, 205, 164), (35, 25, 20), (252, 247, 230)]
IMG_1232,[0, 155, 159, 160, 236],[(248, 248, 248), (51, 44, 47), (225, 227, 231), (167, 172, 189), (191, 196, 211)]
IMG_1662,[206, 233, 240, 242, 252],[(173, 167, 170), (23, 17, 24), (137, 119, 125), (72, 58, 62), (110, 90, 91)]
IMG_1221,[23, 26, 27, 31, 33],[(91, 80, 61), (170, 158, 135), (150, 119, 81), (223, 217, 195), (39, 36, 27)]
IMG_1674,[49, 100, 147, 148, 184],[(77, 103, 129), (121, 133, 144), (176, 180, 154), (49, 48, 51), (148, 159, 152)]
IMG_1224,[12, 148, 148, 151, 155],[(150, 134, 127), (31, 35, 40), (73, 74, 75), (7, 8, 10), (15, 18, 21)]
IMG_1408,[0, 149, 150, 154, 154],[(171, 142, 142), (67, 80, 102), (25, 30, 39), (106, 139, 175), (174, 203, 238)]
IMG_1352,[0, 13, 212, 236],[(34, 30, 34), (254, 254, 254), (108, 99, 95), (209, 202, 205)]
IMG_1273,[17, 21, 34, 38, 39],[(33, 20, 11), (207, 205, 182), (127, 120, 91), (152, 150, 130), (88, 67, 46)]
IMG_1346,[0, 3, 4, 28, 250],[(225, 214, 213), (191, 181, 182), (31, 30, 28), (150, 140, 140), (85, 77, 76)]
IMG_1623,[4, 49, 69, 82, 115],[(16, 23, 21), (96, 108, 89), (55, 69, 54), (229, 220, 219), (153, 155, 143)]
IMG_1391,[24, 32, 63, 65, 132],[(129, 101, 62), (43, 50, 37), (170, 164, 145), (8, 10, 6), (59, 82, 85)]
IMG_1385,[4, 6, 12, 22, 28],[(11, 9, 5), (203, 188, 171), (92, 60, 56), (144, 116, 111), (47, 26, 17)]
IMG_1393,[1, 11, 17, 176, 248],[(33, 28, 59), (106, 78, 68), (97, 34, 32), (33, 13, 16), (167, 126, 97)]
